record_no,tier_cat,region,main_rcs,ukri_pc,n_users,purpose,primary_func_facility,main_physical_comp,cool_sys,heat_reuse,n_cpus,n_gpus,n_server,storage,nrg_supply_ctrl,nrg_supply_mix,nrg_supply_purch,nrg_supply_pol,on_site_nrg,nrg_monitor_tool,nrg_use_mwh_yr,nrg_use_max_mwh_yr,nrg_ghg_scopes,variation_nrg_use,load_management,suggested_nrg_metric,pue,effic_metrics,detailed_nrg_cons_comp,planned_environ_consid,purchase_environ_consid,disposal_environ_consid,usr_knowledge,budget_training,training_impact,usr_nrg_ftprt,imag_user_supp,train_needs,need_std_cert
Record 2,No Tier,Southern England,NERC,60-80,0-100,Specific scientific focus,Other,Other,Air cooled,No,No answer,No answer,,0-10TB,No,Don't know,External/Parent organisation,Don't know,,Meters,"0-5,000",No answer,No,No,Maybe,No,No answer,Don't know,No,,Yes,Yes - disposal/re-use policies,Health & Safety,No,Yes,Yes - estimated energy usage,New facility with optimised design/technology,Understand Scope 3 Emissions,No
Record 4,No Tier,Northern England,BBSRC,Unknown,0-100,General purpose,Storage,Server (CPU),Air cooled,Do not Know,0-100,No answer,0-100,10-100TB,No,Don't know,University,Don't know,No,None,Don't know,Don't know,No,No,,No,No answer,Don't know,No,No,No control over policy,No control over policy,No,No,Not yet,No,Monitor at user level; recycle all plastics,Training on energy efficiency/environmental sustainability,Yes
Record 5,No answer,Southern England,NERC,80-100,No answer,General purpose,Other,Other,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer
Record 6,Tier 2,Northern England,RCs and Non-UKRI,20-40,101-500,Specific scientific focus,HTC,Other,Servers air-cooled with liquid-cooled rear-door heat exchangers.,No,No answer,No answer,No answer,1PB-10PB,No,Don't know,University,Don't know,Yes,None,Don't know,No answer,Don't know,No,No,No,1.0-1.2,No - it can be misused/misreprentative,Mainly compute,Yes - Energy efficiency,Yes,Yes,User requests and behaviour are monitored/overseen,No,No,No answer,Use liquid cooling; Employ RSEs,More staff needed with right skills,Yes
Record 7,No Tier,Northern England,NERC,80-100,0-100,Specific scientific focus,Other,Other,Other,No,No answer,No answer,0-100,0-10TB,No,Don't know,External/Parent organisation,Don't know,Yes,None,Don't know,No answer,No,No,No,No,No answer,,Yes,Yes,No,Yes - disposal/re-use policies,Idle systems must be switched off,No,No answer,No,Low-energy solutions,None required,No
Record 9,Tier 3,Northern England,RCs and Non-UKRI,0-20,101-500,General purpose,HPC,No answer,Liquid cooled,No,1000-10000,No answer,100-500,100TB-1PB,No,0-25%,University,Yes,Yes,Per rack,"0-5,000",500-1000,No,No,No,No,No answer,No - value limited by cooling system,No,Yes,No,Yes - WEEE accredited contractors,User requests and behaviour are monitored/overseen,No,No answer,No,Train users in optimisation/efficiency,None required,Power throttling; usage management
Record 10,No Tier,Northern England,Non-UKRI,0-20,0-100,General purpose,HTC,Server (CPU),Air cooled,No,1000-10000,No answer,500-1000,,No,0-25%,University,Yes,No,None,,No answer,No,No,No,No,No answer,No,Compute,No,No,Yes - WEEE accredited contractors,No,No,No answer,No,,,
Record 11,No Tier,Northern England,BBSRC,80-100,1001-2500,General purpose,HPC,Server (CPU + Disk),Air cooled,No,1000-10000,No answer,100-500,10PB-100PB,No,Don't know,External/Parent organisation,Don't know,Yes,Bespoke tools,"0-5,000",1000-10000,Don't know,No - but load does vary over weeks/months,No,PUE,2.0-2.2,No answer,Yes - we can measure by compoent,,,Yes - disposal/re-use policies,Training offered,No,No answer,Yes - user compute demand,More staff,Don't know,Yes
Record 12,Tier 2,Scotland,STFC,80-100,5001-10000,Specific scientific focus,HPC,Server (CPU + Disk),Air cooled,No,1000-10000,No answer,0-100,1PB-10PB,No,Don't know,External/Parent organisation,Don't know,Yes,Per rack,"0-5,000",No answer,No,No,No,No,No answer,,Monitored at rack level,,No,Yes - disposal/re-use policies,No,No,No answer,No,,None required,Don't know
Record 13,No Tier,Southern England,STFC,80-100,2501-5000,Specific scientific focus,Other,Server (CPU + Disk),Air cooled,No,100-1000,No answer,0-100,1PB-10PB,No,Don't know,Don't know,Don't know,Yes,UPS load,,No answer,Don't know,No,No,No,No answer,Don't know,Don't know,,No,Yes - disposal/re-use policies,No,No,No answer,No,,Don't know,Purchasing
